tanggal,data
2009-02-04,1000.0
2009-02-16,1000.0
2009-03-02,1000.0
2009-03-12,1000.0
2009-03-24,1000.0
2009-04-06,1000.0
2009-04-16,1000.0
2009-04-28,1000.0
2009-05-11,1000.0
2009-05-22,1000.0
2009-06-03,1000.0
2009-06-15,1000.0
2009-06-29,1000.0
2009-07-09,1000.0
2009-07-21,1000.0
2009-08-03,1000.0
2009-08-14,1000.0
2009-08-26,1000.0
2009-09-07,1000.0
2009-09-24,1000.0
2009-10-01,1000.0
2009-10-13,1000.0
2009-10-26,1000.0
2009-11-06,1000.0
2009-11-18,1000.0
2009-11-30,1000.0
2009-12-14,1000.0
2009-12-28,1000.0
2010-01-05,1000.0
2010-01-18,1000.0
2010-01-29,1000.0
2010-02-10,1000.0
2010-02-22,1000.0
2010-03-05,1000.0
2010-03-17,1000.0
2010-03-29,1000.0
2010-04-12,1000.0
2010-04-22,1000.0
2010-05-04,1000.0
2010-05-17,1000.0
2010-05-31,1000.0
2010-06-09,1000.0
2010-06-21,1000.0
2010-07-05,1000.0
2010-07-15,1000.0
2010-07-27,1000.0
2010-08-09,1000.0
2010-08-20,1000.0
2010-09-01,1000.0
2010-09-15,1000.0
2010-09-27,1000.0
2010-10-07,1000.0
2010-10-19,1000.0
2010-11-01,1000.0
2010-11-12,1000.0
2010-11-24,1000.0
2010-12-06,1000.0
2010-12-20,1000.0
2010-12-30,1000.0
2011-01-10,1000.0
2011-01-24,1000.0
2011-02-04,1000.0
2011-02-16,1000.0
2011-02-28,1000.0
2011-03-11,1000.0
2011-03-23,1000.0
2011-04-04,1000.0
2011-04-18,1000.0
2011-04-28,1000.0
2011-05-10,1000.0
2011-05-23,1000.0
2011-06-03,1000.0
2011-06-15,1000.0
2011-06-27,1000.0
2011-07-11,1000.0
2011-07-21,1000.0
2011-08-02,1000.0
2011-08-15,1000.0
2011-08-26,1000.0
2011-09-07,1000.0
2011-09-19,1000.0
2011-10-03,1000.0
2011-10-13,1000.0
2011-10-25,1000.0
2011-11-07,1000.0
2011-11-17,1000.0
2011-11-29,1000.0
2011-12-12,1000.0
2011-12-23,1000.0
2012-01-04,1000.0
2012-01-16,1000.0
2012-01-30,1000.0
2012-02-09,1000.0
2012-02-21,1000.0
2012-03-05,1000.0
2012-03-16,1000.0
2012-03-28,1000.0
2012-04-09,1000.0
2012-04-23,1000.0
2012-05-03,1000.0
2012-05-15,1000.0
2012-05-28,1000.0
2012-06-08,1000.0
2012-06-20,1000.0
2012-07-02,1000.0
2012-07-16,1000.0
2012-07-26,1000.0
2012-08-07,1000.0
2012-08-23,1000.0
2012-08-31,1000.0
2012-09-12,1000.0
2012-09-24,1000.0
2012-10-05,1000.0
2012-10-17,1000.0
2012-10-29,1000.0
2012-11-12,1000.0
2012-11-22,1000.0
2012-12-04,1000.0
