tanggal,NAV,AUM
2007-02-08,997.13,NA
2007-02-21,997.68,NA
2007-03-07,1003.55,NA
2007-03-20,1015.77,NA
2007-04-02,1020.81,NA
2007-04-16,1026.85,NA
2007-04-30,1036.53,NA
2007-05-14,1048.14,NA
2007-05-28,1064.61,NA
2007-06-11,1059.99,NA
2007-06-22,1069.52,NA
2007-07-06,1065.55,NA
2007-07-19,1065.85,NA
2007-08-02,1061.06,NA
2007-08-15,1056.77,NA
2007-08-29,1047.08,NA
2007-09-11,1049.47,NA
2007-09-24,1062.84,NA
2007-10-08,1071.0,NA
2007-10-22,1078.75,NA
2007-11-05,1083.72,NA
2007-11-19,1063.43,NA
2007-12-03,1060.61,NA
2007-12-14,1077.13,NA
2007-12-28,1071.95,NA
2008-01-14,1080.95,NA
2008-01-24,1084.81,NA
2008-02-06,1086.09,NA
2008-02-20,1087.49,NA
2008-03-04,1082.28,NA
2008-03-17,1071.85,NA
2008-03-31,1063.25,NA
2008-04-14,1047.5,NA
2008-04-28,1028.11,NA
2008-05-12,1025.59,NA
2008-05-26,1027.94,NA
2008-06-06,1023.77,NA
2008-06-20,1018.51,NA
2008-07-03,1025.4,NA
2008-07-17,1051.03,NA
2008-07-31,1085.43,NA
2008-08-13,1102.69,NA
2008-08-26,1088.05,NA
2008-09-08,1084.36,NA
2008-09-22,1065.15,NA
2008-10-06,1028.01,NA
2008-10-20,952.64,NA
2008-11-03,928.71,NA
2008-11-17,954.15,NA
2008-11-28,971.16,NA
2008-12-12,1055.45,NA
2008-12-26,1113.57,NA
2009-01-08,1139.5,NA
2009-01-21,1104.52,NA
2009-02-04,1122.67,NA
2009-02-17,1072.74,NA
2009-03-02,1023.32,NA
2009-03-16,1053.74,NA
2009-03-30,1103.4,NA
2009-04-13,1135.38,NA
2009-04-27,1140.93,NA
2009-05-11,1170.68,NA
2009-05-22,1190.18,NA
2009-06-05,1257.61,NA
2009-06-18,1186.31,NA
2009-07-02,1225.18,NA
2009-07-15,1252.95,NA
2009-07-29,1275.43,NA
2009-08-11,1248.42,NA
2009-08-24,1254.75,NA
2009-09-07,1258.56,NA
2009-09-24,1283.14,NA
2009-10-05,1299.91,NA
2009-10-19,1302.57,NA
2009-11-02,1291.7,NA
2009-11-13,1296.69,NA
2009-11-30,1305.31,NA
2009-12-10,1317.25,NA
2009-12-28,1321.39,NA
2010-01-06,1341.99,NA
2010-01-20,1358.65,NA
2010-02-02,1352.81,NA
2010-02-15,1356.73,NA
2010-03-01,1362.14,NA
2010-03-15,1380.09,NA
2010-03-29,1393.43,NA
2010-04-12,1417.47,NA
2010-04-26,1440.11,NA
2010-05-07,1391.85,NA
2010-05-21,1410.06,NA
2010-06-03,1420.07,NA
2010-06-17,1446.66,NA
2010-06-30,1462.25,NA
2010-07-14,1477.76,NA
2010-07-27,1490.06,NA
2010-08-09,1523.27,NA
2010-08-23,1517.72,NA
2010-09-06,1506.98,NA
2010-09-20,1534.26,NA
2010-10-04,1580.23,NA
2010-10-18,1628.75,NA
2010-10-29,1597.55,NA
2010-11-12,1574.28,NA
2010-11-25,1570.14,NA
2010-12-09,1577.68,NA
2010-12-22,1536.81,NA
2011-01-05,1584.71,NA
2011-01-18,1488.57,NA
